episode,score,time,step,epsilon
38,-20.57894736842105,0:12:05.355457,33563,0.019900000000093752
39,-20.58974358974359,0:12:24.992525,34496,0.019900000000093752
40,-20.6,0:12:41.666641,35288,0.019900000000093752
41,-20.609756097560975,0:12:58.358712,36080,0.019900000000093752
42,-20.61904761904762,0:13:15.055142,36872,0.019900000000093752
43,-20.58139534883721,0:13:35.995257,37865,0.019900000000093752
44,-20.568181818181817,0:13:53.755957,38707,0.019900000000093752
45,-20.511111111111113,0:14:16.281858,39764,0.019900000000093752
46,-20.5,0:14:34.971207,40652,0.019900000000093752
47,-20.4468085106383,0:14:57.841806,41766,0.019900000000093752
48,-20.458333333333332,0:15:15.098296,42605,0.019900000000093752
49,-20.387755102040817,0:15:41.995688,43912,0.019900000000093752
50,-20.36,0:16:02.552800,44912,0.019900000000093752
51,-20.352941176470587,0:16:21.461424,45831,0.019900000000093752
52,-20.346153846153847,0:16:40.518353,46757,0.019900000000093752
53,-20.339622641509433,0:16:58.616822,47636,0.019900000000093752
54,-20.314814814814813,0:17:20.333917,48690,0.019900000000093752
55,-20.29090909090909,0:17:44.705133,49874,0.019900000000093752
56,-20.25,0:18:12.264052,51214,0.019900000000093752
57,-20.157894736842106,0:18:46.947219,52896,0.019900000000093752
58,-20.06896551724138,0:19:17.804510,54396,0.019900000000093752
59,-20.033898305084747,0:19:48.352844,55877,0.019900000000093752
60,-19.916666666666668,0:20:25.819148,57693,0.019900000000093752
61,-19.868852459016395,0:21:01.949042,59448,0.019900000000093752
62,-19.806451612903224,0:21:33.741450,60996,0.019900000000093752
63,-19.746031746031747,0:22:06.536963,62591,0.019900000000093752
64,-19.640625,0:22:48.859434,64646,0.019900000000093752
65,-19.523076923076925,0:23:30.554944,66673,0.019900000000093752
66,-19.484848484848484,0:24:17.178754,68887,0.019900000000093752
67,-19.492537313432837,0:24:51.204054,70542,0.019900000000093752
68,-19.470588235294116,0:25:28.695189,72361,0.019900000000093752
69,-19.420289855072465,0:26:08.516249,74301,0.019900000000093752
